local_date_time[80],local_date_time_full[80],apparent_t,cloud[80],cloud_base_m,cloud_type[80],gust_kmh,air_temp,dewpt,press_msl,press_tend[80],rain_trace[80],rel_hum,vis_km[80],weather[80],wind_dir[80],wind_spd_kmh
26/03:30pm,20210326153000,15.6,Partly cloudy,1410,Stratocumulus,32,19.9,8,1011.2,-,0,46,10,-,NNW,20
26/03:00pm,20210326150000,15.6,Mostly cloudy,1500,-,30,19.8,8.3,1011.3,R,0,47,30,Fine,N,20
26/02:30pm,20210326143000,15.8,Partly cloudy,1350,Stratocumulus,28,19.9,8.5,1011.4,-,0,47,10,-,N,20
26/02:00pm,20210326140000,16.4,Partly cloudy,1350,Stratocumulus,26,20.1,8,1012,-,0,45,10,-,NNW,17
26/01:30pm,20210326133000,16,Partly cloudy,1560,-,26,19.9,8.5,1012.2,-,0,47,10,-,NW,19
26/01:00pm,20210326130000,17,Partly cloudy,1320,Stratocumulus,28,20.8,7.7,1012.4,-,0,42,10,-,N,17
26/12:30pm,20210326123000,15.4,Partly cloudy,1380,Stratocumulus,32,20.1,7.7,1012.7,-,0,44,10,-,NW,22
26/12:00pm,20210326120000,16.2,Mostly cloudy,1000,-,30,19.9,8,1012.5,F,0,46,30,Fine,NNW,17
26/11:30am,20210326113000,15.1,Mostly clear,1050,Stratocumulus,26,18.8,9.4,1013.2,-,0,54,10,-,NNE,19
26/11:00am,20210326110000,14.1,Mostly clear,750,Stratocumulus,26,18,8.8,1013.3,-,0,55,10,-,NNE,19
26/10:30am,20210326103000,13.7,-,-9999,-,20,17.1,9.3,1013.6,-,0,60,10,-,NNE,17
26/10:00am,20210326100000,12.7,-,-9999,-,19,16.1,9.2,1013.7,-,0,63,10,-,NNE,17
26/09:30am,20210326093000,11.1,-,-9999,-,19,14.5,9.3,1013.6,-,0,71,10,-,N,17
26/09:00am,20210326090000,9.5,Mostly clear,2500,-,19,13.1,8.5,1013.6,R,0,73,30,Fine,N,17
26/08:30am,20210326083000,8,-,-9999,-,24,11.7,7.8,1013.4,-,0,77,10,-,N,17
26/08:00am,20210326080000,6.2,-,-9999,-,19,10,7.7,1013.4,-,0,86,10,-,N,17
